family,episodes,baseline_eval_score_pct,trained_eval_score_pct,delta_eval_score_pct,baseline_invalid_action_rate,trained_invalid_action_rate,delta_invalid_action_rate,baseline_save_rate_capped,trained_save_rate_capped,delta_save_rate_capped,baseline_save_rate_raw_audit,trained_save_rate_raw_audit,baseline_saved_count_overflow_episodes,trained_saved_count_overflow_episodes
fire,10,84.77021346058703,96.63871336124858,11.868499900661547,0.2751537888463176,0.026,-0.2491537888463176,0.9824324324324324,0.9793871336124857,-0.00304529881994664,1.9340667481305427,2.574094219657158,5,7
flood,10,22.948411988724846,45.421445028671144,22.473033039946298,0.4766666666666667,0.0,-0.4766666666666667,0.26656952024319047,0.4542144502867114,0.18764493004352095,0.26656952024319047,0.4542144502867114,0,0
gas,10,68.22453004036612,99.28088803088804,31.056357990521917,0.42343805536568696,0.0,-0.42343805536568696,0.8582624464377671,0.9928088803088803,0.1345464338711132,0.9599025173597528,1.6339018236306713,2,8
